Training: 2021-04-10 19:44:24,605-rank_id: 0
Training: 2021-04-10 19:44:32,425-softmax weight init successfully!
Training: 2021-04-10 19:44:32,425-softmax weight mom init successfully!
Training: 2021-04-10 19:44:32,428-Total Step is: 295681
Training: 2021-04-10 19:45:11,704-Reducer buckets have been rebuilt in this iteration.
Training: 2021-04-10 19:46:18,512-Speed 764.47 samples/sec   Loss 47.2063   Epoch: 0   Global Step: 100   Required: 57 hours
Training: 2021-04-10 19:46:52,291-Speed 757.88 samples/sec   Loss 47.2522   Epoch: 0   Global Step: 150   Required: 56 hours
Training: 2021-04-10 19:47:26,090-Speed 757.43 samples/sec   Loss 46.8898   Epoch: 0   Global Step: 200   Required: 56 hours
Training: 2021-04-10 19:47:59,874-Speed 757.77 samples/sec   Loss 46.5614   Epoch: 0   Global Step: 250   Required: 56 hours
Training: 2021-04-10 19:48:33,667-Speed 757.55 samples/sec   Loss 46.0548   Epoch: 0   Global Step: 300   Required: 56 hours
Training: 2021-04-10 19:49:08,196-Speed 741.41 samples/sec   Loss 45.6192   Epoch: 0   Global Step: 350   Required: 56 hours
Training: 2021-04-10 19:49:41,655-Speed 765.13 samples/sec   Loss 45.0637   Epoch: 0   Global Step: 400   Required: 56 hours
Training: 2021-04-10 19:50:15,045-Speed 766.70 samples/sec   Loss 44.6179   Epoch: 0   Global Step: 450   Required: 56 hours
Training: 2021-04-10 19:50:48,408-Speed 767.34 samples/sec   Loss 44.0368   Epoch: 0   Global Step: 500   Required: 56 hours
Training: 2021-04-10 19:51:21,845-Speed 765.62 samples/sec   Loss 43.6118   Epoch: 0   Global Step: 550   Required: 56 hours
Training: 2021-04-10 19:51:55,298-Speed 765.26 samples/sec   Loss 43.1628   Epoch: 0   Global Step: 600   Required: 55 hours
Training: 2021-04-10 19:52:29,109-Speed 757.17 samples/sec   Loss 42.6274   Epoch: 0   Global Step: 650   Required: 55 hours
Training: 2021-04-10 19:53:02,538-Speed 765.81 samples/sec   Loss 42.1242   Epoch: 0   Global Step: 700   Required: 55 hours
Training: 2021-04-10 19:53:36,029-Speed 764.39 samples/sec   Loss 41.6097   Epoch: 0   Global Step: 750   Required: 55 hours
Training: 2021-04-10 19:54:09,595-Speed 762.70 samples/sec   Loss 41.1761   Epoch: 0   Global Step: 800   Required: 55 hours
Training: 2021-04-10 19:54:43,395-Speed 757.40 samples/sec   Loss 40.7951   Epoch: 0   Global Step: 850   Required: 55 hours
Training: 2021-04-10 19:55:17,186-Speed 757.60 samples/sec   Loss 40.3433   Epoch: 0   Global Step: 900   Required: 55 hours
Training: 2021-04-10 19:55:50,600-Speed 766.16 samples/sec   Loss 39.9323   Epoch: 0   Global Step: 950   Required: 55 hours
